HYBAS_ID,protection,EAD_protection,protection,EAEL_protection
2080049150,river,185.71875,river,24153.226999999995
2080049180,river,7712.953124999998,river,52485.45399999999
2080049170,river,4573.884375,river,48157.40299999999
2080049300,river,0.0,river,0.0
2080048990,river,51012.09375,river,53207.02799999999
2080048980,river,0.0,river,0.0
2080048930,river,2032.865625,river,83775.29859999998
2080048790,river,0.0,river,0.0
2080048810,river,46088.08125,river,23310.462
2080048820,river,722.68125,river,20860.175
2080048830,river,27402.20625,river,109796.18039999998
2080411910,river,228.346875,river,79855.3767
2080412030,river,429.76875000000007,river,103009.564
2080048910,river,6525.300000000001,river,137197.963
2080053890,river,57717.815625,river,17250.911999999997
2080053940,river,178888.303125,river,207247.754
2080053880,river,101942.259375,river,36943.75299999999
2080053860,river,1551.675,river,30248.437799999996
2080053820,river,118708.0875,river,239023.95459999997
2080053850,river,195213.375,river,61421.549
2080053830,river,346.0125,river,43533.6778
2080053800,river,139.90312500000002,river,0.0
2080053790,river,54679.17187500001,river,1110347.7629999998
2080053730,river,2411.1000000000004,river,227582.76799999998
2080053720,river,1422.7968749999998,river,127721.86159999999
2080053680,river,2029.415625,river,106691.26299999998
2080053670,river,402.27187499999997,river,64044.567999999985
2080053640,river,4545.806249999999,river,71941.04719999999
2080049140,river,5706.3,river,72310.62999999999
2080049130,river,1258.2656249999998,river,71557.01699999999
2080049290,river,138.46875000000003,river,0.0
2080049450,river,0.0,river,0.0
2080049120,river,58386.9375,river,99390.55
2080049480,river,116617.284375,river,5711.299999999999
2080049460,river,0.0,river,0.0
2080049490,river,445.846875,river,0.0
2080049790,river,106737.65624999999,river,122891.99229999998
2080049840,river,107339.67187500001,river,75481.098
2080053950,river,102.95625,river,178665.02579999994
2080048800,river,17225.240625000002,river,99421.19599999998
2080049520,river,168328.93125,river,108134.41099999998
2080402800,river,913.3406249999998,river,21817.166
2080048900,river,1345.9406249999997,river,126747.13969999999
2080403200,river,1045.996875,river,53192.520899999996
2080402990,river,0.0,river,0.0
2080048920,river,100438.85625,river,138041.00659999996
2080402590,river,262.37812499999995,river,47480.405
2080403080,river,343.25624999999997,river,53963.426999999996
2080394580,river,3380.25,river,340334.73519999994
2080402900,river,11.5125,river,1582.9255999999998
2080049530,river,57514.3875,river,69001.1804
2080391560,river,128821.95000000003,river,2573590.1660999996
2080049610,river,343463.025,river,220486.04989999995
2080394460,river,5728.5,river,57684.88619999999
2080392740,river,54448.246875,river,78955.23999999999
2080393150,river,284874.05625,river,541158.3711999999
2080392570,river,3269.9437499999995,river,250054.64399999997
2080049690,river,3332.578125,river,120973.692
2080049620,river,55301.86875,river,122159.13499999998
